Journal title,NLM TA,pISSN,eISSN,Publisher,LOCATORplus ID,Latest issue,Earliest volume,Free access,Open access,Participation level, Deposit status, Journal URL
"International Journal of Clinical and Experimental Pathology","Int J Clin Exp Pathol","","1936-2625","e-Century Publishing Corporation","","v.17(5);2024","v.1;2008","Immediate","No"," Full "," ",http://europepmc.org/journals/787/
"International Journal of Clinical and Health Psychology : IJCHP","Int J Clin Health Psychol","1697-2600","2174-0852","Asociacion Espanola de Psicologia Conductual","","v.24(2);Apr-Jun 2024","v.15;2015","Immediate","Some"," Full "," ",http://europepmc.org/journals/3556/
"International Journal of Clinical Pediatric Dentistry","Int J Clin Pediatr Dent","0974-7052","0975-1904","Jaypee Brothers Medical Publishing (P) Ltd.","","v.17(1);Jan 2024","v.1;2008","1 month","Some"," Full "," ",http://europepmc.org/journals/2536/
"International Journal of Clinical Pharmacology and Therapeutics","Int J Clin Pharmacol Ther","0946-1965","","Dustri-Verlag","","v.62(6);Jun 2024","v.49;2011","Immediate","All"," NIH Portfolio "," ",https://www.ncbi.nlm.nih.gov/pmc/?term=%22Int+J+Clin+Pharmacol+Ther%22%5Bjournal%5D
"International Journal of Clinical Practice","Int J Clin Pract","1368-5031","1742-1241","Hindawi Ltd. and John Wiley and Sons, Inc.","","v.2024;2024","v.2022;2022","Immediate","All"," Full "," ",http://europepmc.org/journals/4244/
"International Journal of Community Based Nursing and Midwifery","Int J Community Based Nurs Midwifery","2322-2476","2322-4835","Shiraz University of Medical Sciences","","v.12(2);Apr 2024","v.2;2014","Immediate","All"," Full "," ",http://europepmc.org/journals/2575/
"International Journal of Critical Illness and Injury Science","Int J Crit Illn Inj Sci","2229-5151","2231-5004","Wolters Kluwer -- Medknow Publications","","v.14(1);Jan-Mar 2024","v.1;2011","Immediate","All"," Full "," ",http://europepmc.org/journals/1707/
"International Journal of Dentistry","Int J Dent","1687-8728","1687-8736","Wiley","","v.2024;2024","v.2009;2009","Immediate","All"," Full "," ",http://europepmc.org/journals/789/
"International Journal of Developmental Disabilities","Int J Dev Disabil","2047-3869","2047-3877","The British Society of Developmental Disabilities","","v.70(3);2024","v.64;2018","12 months","Some"," Full "," ",http://europepmc.org/journals/4083/
"International Journal of Diabetes in Developing Countries","Int J Diabetes Dev Ctries","0973-3930","1998-3832","Springer","","v.30(2);Apr-Jun 2010","v.28;2008","","All"," Full "," No New Content ",http://europepmc.org/journals/791/
"International Journal of Emergency Medicine","Int J Emerg Med","1865-1372","1865-1380","Springer-Verlag","","v.17;2024","v.1;2008","Immediate","All"," Full "," ",http://europepmc.org/journals/792/
"International Journal of Endocrinology","Int J Endocrinol","1687-8337","1687-8345","Wiley","","v.2024;2024","v.2009;2009","Immediate","All"," Full "," ",http://europepmc.org/journals/793/
"International Journal of Endocrinology and Metabolism","Int J Endocrinol Metab","1726-913X","1726-9148","Brieflands","","v.22(1);Jan 2024","v.10;2012","Immediate","All"," Full "," ",http://europepmc.org/journals/2145/
"International Journal of Environmental Research and Public Health","Int J Environ Res Public Health","1661-7827","1660-4601","Multidisciplinary Digital Publishing Institute  (MDPI)","","v.21(6);Jun 2024","v.2;2005","Immediate","All"," Full "," ",https://www.ncbi.nlm.nih.gov/pmc/?term=%22Int+J+Environ+Res+Public+Health%22%5Bjournal%5D
"International Journal of Epidemiology","Int J Epidemiol","0300-5771","1464-3685","Oxford University Press","","v.53(4);Aug 2024","v.34;2005","12 months","Some"," NIH Portfolio "," ",https://www.ncbi.nlm.nih.gov/pmc/?term=%22Int+J+Epidemiol%22%5Bjournal%5D
"International Journal for Equity in Health","Int J Equity Health","","1475-9276","BMC","","v.23;2024","v.1;2002","Immediate","All"," Full "," ",http://europepmc.org/journals/666/
"International Journal of Evolutionary Biology","Int J Evol Biol","2090-8032","2090-052X","Wiley","","v.2017;2017","v.2009;2009","","All"," Full "," No New Content ",http://europepmc.org/journals/1492/
"International Journal of Experimental Diabesity Research","Int J Exp Diabesity Res","","","Wiley","","v.4(1);2003","v.4;2003","Immediate","All"," Full "," Predecessor ",http://europepmc.org/journals/795/
"International Journal of Experimental Diabetes Research","Int J Exp Diabetes Res","1560-4284","","Wiley","","v.3(4);2002","v.1;2000","Immediate","All"," Full "," Predecessor ",http://europepmc.org/journals/796/
"International Journal of Family Medicine","Int J Family Med","2090-2042","2090-2050","Wiley","","v.2017;2017","v.2010;2010","","All"," Full "," No New Content ",http://europepmc.org/journals/1767/
"International Journal of Fertility &#x0026; Sterility","Int J Fertil Steril","2008-076X","2008-0778","Royan Institute","","v.18(2);Apr-Jun 2024","v.4;2011","Immediate","Some"," Full "," ",http://europepmc.org/journals/2352/
"International Journal of Food Science","Int J Food Sci","","2314-5765","Wiley","","v.2024;2024","v.2013;2013","Immediate","All"," Full "," ",http://europepmc.org/journals/2879/
"International Journal of General Medicine","Int J Gen Med","","1178-7074","Dove Press","","v.17;2024","v.1;2008","Immediate","All"," Full "," ",http://europepmc.org/journals/797/
"International Journal of Genomics","Int J Genomics","2314-436X","2314-4378","Wiley","","v.2024;2024","v.2013;2013","Immediate","All"," Full "," ",http://europepmc.org/journals/2109/
"International Journal of Health Geographics","Int J Health Geogr","","1476-072X","BMC","","v.23;2024","v.1;2002","Immediate","All"," Full "," ",http://europepmc.org/journals/798/
"International Journal of Health Policy and Management","Int J Health Policy Manag","","2322-5939","Kerman University of Medical Sciences","","v.13;2024","v.1;2013","Immediate","Some"," Full "," ",http://europepmc.org/journals/2375/
"International Journal of Health Sciences","Int J Health Sci (Qassim)","1658-3639","1658-7774","Qassim University","","v.18(3);May-Jun 2024","v.1;2007","Immediate","Some"," Full "," ",http://europepmc.org/journals/1518/
"International Journal of Heart Failure","Int J Heart Fail","2636-154X","2636-1558","Korean Society of Heart Failure","","v.6(2);Apr 2024","v.1;2019","Immediate","All"," Full "," ",http://europepmc.org/journals/4316/
"International Journal of Hematologic Oncology","Int J Hematol Oncol","2045-1393","2045-1407","Taylor &#x0026; Francis","","v.12(2);Jun 2023","v.5;2016","","Some"," Full "," No New Content ",http://europepmc.org/journals/3523/
"International Journal of Hematology-Oncology and Stem Cell Research","Int J Hematol Oncol Stem Cell Res","2008-3009","2008-2207","Tehran University of Medical Sciences","","v.18(2);Apr 1, 2024","v.7;2013","Immediate","All"," Full "," ",http://europepmc.org/journals/2350/
"International Journal of Hepatology","Int J Hepatol","2090-3448","2090-3456","Wiley","","v.2024;2024","v.2011;2011","Immediate","All"," Full "," ",http://europepmc.org/journals/1662/
"International Journal of High Risk Behaviors &#x0026; Addiction","Int J High Risk Behav Addict","2251-8711","2251-872X","Brieflands","","v.5(3);Sep 2016","","","All"," Full "," No New Content ",http://europepmc.org/journals/2482/
"International Journal of Hypertension","Int J Hypertens","2090-0384","2090-0392","Wiley","","v.2024;2024","v.2010;2010","Immediate","All"," Full "," ",http://europepmc.org/journals/1380/
"International Journal of Immunopathology and Pharmacology","Int J Immunopathol Pharmacol","0394-6320","2058-7384","SAGE Publications","","v.38;Jan-Dec 2024","v.29;2016","Immediate","Some"," Full "," ",http://europepmc.org/journals/3356/
"International Journal of Implant Dentistry","Int J Implant Dent","","2198-4034","Springer","","v.10;Dec 2024","v.1;2015","Immediate","All"," Full "," ",http://europepmc.org/journals/3027/
"International Journal of Inflammation","Int J Inflam","2090-8040","2042-0099","Wiley","","v.2024;2024","v.2010;2010","Immediate","All"," Full "," ",http://europepmc.org/journals/1423/
"International Journal of Insect Science","Int J Insect Sci","","1179-5433","SAGE Publications","","v.11;2019","v.5;2013","","All"," Full "," No New Content ",http://europepmc.org/journals/2863/
"International Journal of Integrated Care","Int J Integr Care","","1568-4156","Ubiquity Press","","v.24(2);Apr-Jun 2024","v.1;2000","Immediate","All"," Full "," ",http://europepmc.org/journals/800/
"International Journal of Maternal and Child Health and AIDS","Int J MCH AIDS","2161-8674","2161-864X","Global Health and Education Projects, Inc.","","v.13;2024","v.1;2012","Immediate","All"," Full "," ",http://europepmc.org/journals/3035/
"International Journal of Medicinal Chemistry","Int J Med Chem","2090-2069","2090-2077","Wiley","","v.2019;2019","v.2011;2011","","All"," Full "," No New Content ",http://europepmc.org/journals/2589/
"International Journal of Medical Education","Int J Med Educ","","2042-6372","IJME","","v.14;2023","v.1;2010","Immediate","All"," Full "," ",http://europepmc.org/journals/2572/
"International Journal of Medical Sciences","Int J Med Sci","","1449-1907","Ivyspring International Publisher","","v.21(8);2024","v.1;2004","Immediate","All"," Full "," ",http://europepmc.org/journals/803/
"International Journal of Mental Health Systems","Int J Ment Health Syst","","1752-4458","BMC","","v.18;2024","v.1;2007","Immediate","All"," Full "," ",http://europepmc.org/journals/804/
"International Journal of Methods in Psychiatric Research","Int J Methods Psychiatr Res","1049-8931","1557-0657","Wiley","","v.33(2);Jun 2024","v.7;1998","Immediate","Some"," Full "," ",http://europepmc.org/journals/3784/
"International Journal of Microbiology","Int J Microbiol","1687-918X","1687-9198","Wiley","","v.2024;2024","v.2009;2009","Immediate","All"," Full "," ",http://europepmc.org/journals/801/
"International Journal of Molecular and Cellular Medicine","Int J Mol Cell Med","2251-9637","2251-9645","Babol University of Medical Sciences","","v.12(3);2023","v.1;2012","Immediate","Some"," Full "," ",http://europepmc.org/journals/2366/
"International Journal of Molecular Epidemiology and Genetics","Int J Mol Epidemiol Genet","","1948-1756","e-Century Publishing Corporation","","v.15(2);2024","v.1;2010","Immediate","No"," Full "," ",http://europepmc.org/journals/1543/
"International Journal of Molecular Imaging","Int J Mol Imaging","2090-1712","2090-1720","Wiley","","v.2017;2017","v.2011;2011","","All"," Full "," No New Content ",http://europepmc.org/journals/1533/
"International Journal of Molecular Medicine","Int J Mol Med","1107-3756","1791-244X","Spandidos Publications","","v.54(1);Jul 2024","v.24;2009","12 months","Some"," NIH Portfolio "," ",https://www.ncbi.nlm.nih.gov/pmc/?term=%22Int+J+Mol+Med%22%5Bjournal%5D
"International Journal of Molecular Sciences","Int J Mol Sci","","1422-0067","Multidisciplinary Digital Publishing Institute  (MDPI)","","v.25(11);Jun 2024","v.8;2007","Immediate","Some"," Full "," ",https://www.ncbi.nlm.nih.gov/pmc/?term=%22Int+J+Mol+Sci%22%5Bjournal%5D
"International Journal of MS Care","Int J MS Care","1537-2073","2834-5398","The Consortium of Multiple Sclerosis Centers","","v.26(3);May-Jun 2024","v.13;2011","Immediate","No"," Full "," ",http://europepmc.org/journals/2334/
"International Journal of Nanomedicine","Int J Nanomedicine","1176-9114","1178-2013","Dove Press","","v.19;2024","v.1;2006","Immediate","All"," Full "," ",http://europepmc.org/journals/843/
"International Journal of Neonatal Screening","Int J Neonatal Screen","","2409-515X","Multidisciplinary Digital Publishing Institute  (MDPI)","","v.10(2);Jun 2024","v.4;2018","Immediate","All"," Full "," ",https://www.ncbi.nlm.nih.gov/pmc/?term=%22Int+J+Neonatal+Screen%22%5Bjournal%5D
"International Journal of Nephrology","Int J Nephrol","2090-214X","2090-2158","Wiley","","v.2024;2024","v.2010;2010","Immediate","All"," Full "," ",http://europepmc.org/journals/1424/
"International Journal of Nephrology and Renovascular Disease","Int J Nephrol Renovasc Dis","","1178-7058","Dove Press","","v.17;2024","v.1;2008","Immediate","All"," Full "," ",http://europepmc.org/journals/1595/
"International Journal of Neuropsychopharmacology","Int J Neuropsychopharmacol","1461-1457","1469-5111","Oxford University Press","","v.27(6);Jun 2024","v.18;2015","Immediate","Some"," Full "," ",http://europepmc.org/journals/2778/
"International Journal of Nursing Education Scholarship","Int J Nurs Educ Scholarsh","2194-5772","1548-923X","Berkeley Electronic Press","","v.7(1);Jan 1, 2010","v.5;2008","","No"," NIH Portfolio "," No New Content ",https://www.ncbi.nlm.nih.gov/pmc/?term=%22Int+J+Nurs+Educ+Scholarsh%22%5Bjournal%5D
"International Journal of Nursing Sciences","Int J Nurs Sci","2096-6296","2352-0132","Chinese Nursing Association","","v.11(2);Apr 2024","v.4;2017","Immediate","All"," Full "," ",http://europepmc.org/journals/3698/
"International Journal of Nursing Studies Advances","Int J Nurs Stud Adv","","2666-142X","Elsevier","","v.6;Jun 2024","v.2;2020","Immediate","Some"," Full "," ",http://europepmc.org/journals/4643/
"International Journal of Obesity Supplements","Int J Obes Suppl","2046-2166","2046-2174","Nature Publishing Group","","v.10(1);Jul 2020","v.8;2018","","Some"," Full "," No New Content ",http://europepmc.org/journals/2920/
"International Journal of Occupational and Environmental Health","Int J Occup Environ Health","1077-3525","2049-3967","Taylor &#x0026; Francis","","v.24(3-4);Oct 2018","v.20;2014","","Some"," Full "," No New Content ",http://europepmc.org/journals/2528/
"The International Journal of Occupational and Environmental Medicine","Int J Occup Environ Med","2008-6520","2008-6814","Shiraz: NIOC Health Organization","","v.11(4);Oct 2020","v.5;2014","","Some"," Full "," No New Content ",http://europepmc.org/journals/3652/
"International Journal of Occupational Medicine and Environmental Health","Int J Occup Med Environ Health","1232-1087","1896-494X","Nofer Institute of Occupational Medicine","","v.37(2);2024","v.35;2021","Immediate","All"," Full "," ",http://europepmc.org/journals/4538/
"International Journal of Oncology","Int J Oncol","1019-6439","1791-2423","Spandidos Publications","","v.65(1);Jul 2024","v.36;2010","12 months","Some"," NIH Portfolio "," ",https://www.ncbi.nlm.nih.gov/pmc/?term=%22Int+J+Oncol%22%5Bjournal%5D
"International Journal of Ophthalmology","Int J Ophthalmol","2222-3959","2227-4898","Press of International Journal of Ophthalmology","","v.17(6);2024","v.3;2010","Immediate","No"," Full "," ",http://europepmc.org/journals/1823/
"International Journal of Oral Science","Int J Oral Sci","1674-2818","2049-3169","Nature Publishing Group","","v.16;2024","v.1;2009","Immediate","All"," Full "," ",http://europepmc.org/journals/1929/
"International Journal of Organ Transplantation Medicine","Int J Organ Transplant Med","2008-6482","2008-6490","Avicenna Organ Transplantation Institute","","v.13(2);2022","v.1;2010","","Some"," Full "," No New Content ",http://europepmc.org/journals/2492/
"International Journal of Otolaryngology","Int J Otolaryngol","1687-9201","1687-921X","Wiley","","v.2023;2023","v.2009;2009","Immediate","All"," Full "," ",http://europepmc.org/journals/809/
"International Journal for Parasitology: Drugs and Drug Resistance","Int J Parasitol Drugs Drug Resist","","2211-3207","Elsevier","","v.25;Aug 2024","v.1;2011","Immediate","Some"," Full "," ",http://europepmc.org/journals/2353/
"International Journal for Parasitology: Parasites and Wildlife","Int J Parasitol Parasites Wildl","","2213-2244","Elsevier","","v.24;Aug 2024","v.1;2012","Immediate","Some"," Full "," ",http://europepmc.org/journals/2354/
"International Journal of Particle Therapy","Int J Part Ther","","2331-5180","Particle Therapy Cooperative Group (PTCOG)","","v.12;Jun 2024","v.2;2016","Immediate","Some"," Full "," ",http://europepmc.org/journals/3754/
"International Journal of Pediatrics","Int J Pediatr","1687-9740","1687-9759","Wiley","","v.2024;2024","v.2009;2009","Immediate","All"," Full "," ",http://europepmc.org/journals/813/
"International Journal of Pediatrics &#x0026; Adolescent Medicine","Int J Pediatr Adolesc Med","","2352-6467","King Faisal Specialist Hospital and Research Centre","","v.9(4);Dec 2022","v.2;2015","","All"," Full "," No New Content ",http://europepmc.org/journals/3610/
"International Journal of Pediatric Endocrinology","Int J Pediatr Endocrinol","1687-9848","1687-9856","BMC","","v.2020;2020","v.2009;2009","","All"," Full "," No New Content ",http://europepmc.org/journals/812/
"International Journal of Peptides","Int J Pept","1687-9767","1687-9775","Wiley","","v.2017;2017","v.2009;2009","","All"," Full "," No New Content ",http://europepmc.org/journals/814/
"International Journal of Pharmaceutical Investigation","Int J Pharm Investig","2230-973X","2230-9713","Wolters Kluwer -- Medknow Publications","","v.7(4);Oct-Dec 2017","v.1;2011","","All"," Full "," No New Content ",http://europepmc.org/journals/1951/
"International Journal of Pharmaceutics: X","Int J Pharm X","","2590-1567","Elsevier","","v.7;Jun 2024","v.1;2019","Immediate","Some"," Full "," ",http://europepmc.org/journals/3717/
"International Journal of Physiology, Pathophysiology and Pharmacology","Int J Physiol Pathophysiol Pharmacol","","1944-8171","e-Century Publishing Corporation","","v.16(2);2024","v.1;2009","Immediate","No"," Full "," ",http://europepmc.org/journals/1498/
"International Journal of Plant Genomics","Int J Plant Genomics","1687-5370","1687-5389","Wiley","","v.2017;2017","v.2007;2007","","All"," Full "," No New Content ",http://europepmc.org/journals/815/
"International Journal of Population Data Science","Int J Popul Data Sci","","2399-4908","Swansea University","","v.9(1);2024","v.1;2017","Immediate","Some"," Full "," ",http://europepmc.org/journals/3959/
"International Journal of Preventive Medicine","Int J Prev Med","2008-7802","2008-8213","Wolters Kluwer -- Medknow Publications","","v.15;2024","v.1;2010","Immediate","All"," Full "," ",http://europepmc.org/journals/1511/
"International Journal of Proteomics","Int J Proteomics","2090-2166","2090-2174","Wiley","","v.2016;2016","v.2010;2010","","All"," Full "," No New Content ",http://europepmc.org/journals/1692/
"International Journal of Psychological Research","Int J Psychol Res (Medellin)","2011-2084","2011-7922","Universidad de San Buenaventura","","v.16(2);Jul-Dec 2023","v.10;2017","Immediate","All"," Full "," ",http://europepmc.org/journals/3883/
"International Journal of Public Health","Int J Public Health","1661-8556","1661-8564","Frontiers Media SA","","v.69;2024","v.66;2021","Immediate","All"," Full "," ",https://www.ncbi.nlm.nih.gov/pmc/?term=%22Int+J+Public+Health%22%5Bjournal%5D
"International Journal for Quality in Health Care","Int J Qual Health Care","1353-4505","1464-3677","Oxford University Press","","v.36(2);Apr 2024","v.20;2008","12 months","Some"," NIH Portfolio "," ",https://www.ncbi.nlm.nih.gov/pmc/?term=%22Int+J+Qual+Health+Care%22%5Bjournal%5D
"International Journal of Qualitative Studies on Health and Well-being","Int J Qual Stud Health Well-being","1748-2623","1748-2631","Taylor &#x0026; Francis","","v.19(1);2024","v.4;2009","Immediate","Some"," Full "," ",http://europepmc.org/journals/820/
"International Journal of Reproductive Biomedicine","Int J Reprod Biomed","2476-4108","2476-3772","Shahid Sadoughi University of Medical Sciences and Health Services","","v.22(2);Feb 2024","v.13;2015","Immediate","Some"," Full "," ",http://europepmc.org/journals/2916/
"International Journal of Reproductive Medicine","Int J Reprod Med","2356-7104","2314-5757","Wiley","","v.2024;2024","v.2013;2013","Immediate","All"," Full "," ",http://europepmc.org/journals/2675/
"International Journal of Retina and Vitreous","Int J Retina Vitreous","","2056-9920","BMC","","v.10;2024","v.1;2015","Immediate","All"," Full "," ",http://europepmc.org/journals/3076/
"International Journal of Rheumatology","Int J Rheumatol","1687-9260","1687-9279","Wiley","","v.2024;2024","v.2009;2009","Immediate","All"," Full "," ",http://europepmc.org/journals/821/
"International Journal of Sexual Health","Int J Sex Health","1931-7611","1931-762X","Taylor &#x0026; Francis","","v.36(2);2024","v.33;2021","12 months","Some"," Full "," ",http://europepmc.org/journals/4626/
"International Journal of Shoulder Surgery","Int J Shoulder Surg","","0973-6042","Wolters Kluwer -- Medknow Publications","","v.10(2);Apr-Jun 2016","v.2;2008","","All"," Full "," No New Content ",http://europepmc.org/journals/824/
"International Journal of Spine Surgery","Int J Spine Surg","","2211-4599","International Society for the Advancement of Spine Surgery","","v.17(6);Dec 2023","v.6;2012","Immediate","Some"," Full "," ",http://europepmc.org/journals/2660/
"International Journal of Sports Physical Therapy","Int J Sports Phys Ther","","2159-2896","North American Sports Medicine Institute","","v.19(6);2024","v.6;2011","Immediate","Some"," Full "," ",http://europepmc.org/journals/1585/
"International Journal of Stem Cells","Int J Stem Cells","2005-3606","2005-5447","Korean Society for Stem Cell Research","","v.17(2);2024","v.1;2008","Immediate","Some"," Full "," ",http://europepmc.org/journals/2284/
"International Journal of Surgery Case Reports","Int J Surg Case Rep","","2210-2612","Elsevier","","v.120;Jul 2024","","Immediate","Some"," Full "," ",http://europepmc.org/journals/1708/
"International Journal of Surgical Oncology","Int J Surg Oncol","2090-1402","2090-1410","Wiley","","v.2024;2024","v.2010;2010","Immediate","All"," Full "," ",http://europepmc.org/journals/1773/
"International Journal of Surgery Protocols","Int J Surg Protoc","","2468-3574","Wolters Kluwer Health","","v.28(2);Jun 2024","v.1;2016","Immediate","All"," Full "," ",http://europepmc.org/journals/3759/
"International Journal of Systematic and Evolutionary Microbiology","Int J Syst Evol Microbiol","1466-5026","1466-5034","Society for General Microbiology and the International Union of Microbiological Societies","","v.74(5);2024","v.57;2007","12 months","Some"," NIH Portfolio "," ",https://www.ncbi.nlm.nih.gov/pmc/?term=%22Int+J+Syst+Evol+Microbiol%22%5Bjournal%5D
"International Journal of Telemedicine and Applications","Int J Telemed Appl","1687-6415","1687-6423","Wiley","","v.2024;2024","v.2008;2008","Immediate","All"," Full "," ",http://europepmc.org/journals/825/
"International Journal of Telerehabilitation","Int J Telerehabil","","1945-2020","University Library Systems, University of Pittsburgh","","v.15(2);2023","v.1;2009","Immediate","Some"," Full "," ",http://europepmc.org/journals/2704/
"International Journal of Therapeutic Massage &#x0026; Bodywork","Int J Ther Massage Bodywork","","1916-257X","Massage Therapy Foundation","","v.17(2);Jun 2024","v.1;2008","Immediate","Some"," Full "," ",http://europepmc.org/journals/1557/
"The International Journal of Transgenderism","Int J Transgend","1553-2739","1434-4599","Taylor &#x0026; Francis","","v.20(4);2019","v.20;2019","Immediate","Some"," Full "," Predecessor ",http://europepmc.org/journals/3970/
"International Journal of Transgender Health","Int J Transgend Health","2689-5269","2689-5277","Taylor &#x0026; Francis","","v.25(2);2024","v.21;2020","12 months","Some"," Full "," ",http://europepmc.org/journals/3969/
"International Journal of Trichology","Int J Trichology","0974-7753","0974-9241","Wolters Kluwer -- Medknow Publications","","v.15(4);Jul-Aug 2023","v.1;2009","Immediate","All"," Full "," ",http://europepmc.org/journals/846/
"International Journal of Tryptophan Research : IJTR","Int J Tryptophan Res","","1178-6469","SAGE Publications","","v.17;2024","v.1;2008","Immediate","All"," Full "," ",http://europepmc.org/journals/1693/
"International Journal of Vascular Medicine","Int J Vasc Med","2090-2824","2090-2832","Wiley","","v.2024;2024","v.2010;2010","Immediate","All"," Full "," ",http://europepmc.org/journals/1425/
"International Journal of Veterinary Science and Medicine","Int J Vet Sci Med","2314-4580","2314-4599","Faculty of Veterinary Medicine, Cairo University","","v.12(1);2024","v.4;2016","Immediate","Some"," Full "," ",http://europepmc.org/journals/3498/
"International Journal of Women's Dermatology","Int J Womens Dermatol","","2352-6475","Wolters Kluwer Health","","v.10(2);Jun 2024","v.1;2015","Immediate","Some"," Full "," ",http://europepmc.org/journals/3173/
"International Journal of Women's Health","Int J Womens Health","","1179-1411","Dove Press","","v.16;2024","v.1;2009","Immediate","All"," Full "," ",http://europepmc.org/journals/1405/
"International Journal of Yoga","Int J Yoga","0973-6131","2231-2714","Wolters Kluwer -- Medknow Publications","","v.17(1);Jan-Apr 2024","v.1;2008","Immediate","All"," Full "," ",http://europepmc.org/journals/1361/
"International Medical Case Reports Journal","Int Med Case Rep J","","1179-142X","Dove Press","","v.17;2024","v.1;2008","Immediate","All"," Full "," ",http://europepmc.org/journals/2132/
"International Neurourology Journal","Int Neurourol J","2093-4777","2093-6931","Korean Continence Society","","v.28(1);Mar 2024","v.14;2010","Immediate","Some"," Full "," ",http://europepmc.org/journals/1411/
"International Orthopaedics","Int Orthop","0341-2695","1432-5195","Springer-Verlag","","v.38(8);Aug 2014","v.21;1997","","Some"," Full "," No New Content ",http://europepmc.org/journals/844/
"International Psychiatry","Int Psychiatry","1749-3676","1749-3684","Royal College of Psychiatrists","","v.11(4);Nov 2014","v.1;2003","Immediate","All"," Full "," Predecessor ",http://europepmc.org/journals/3715/
"International Scholarly Research Notices","Int Sch Res Notices","","2356-7872","Wiley","","v.2017;2017","v.2014;2014","","All"," Full "," No New Content ",http://europepmc.org/journals/2956/
"International Seminars in Surgical Oncology : ISSO","Int Semin Surg Oncol","","1477-7800","BMC","","v.7;2010","v.1;2004","","All"," Full "," No New Content ",http://europepmc.org/journals/850/
"International Surgery","Int Surg","0020-8868","2520-2456","International College of Surgeons","","v.100(6);Jun 2015","v.97;2012","","Some"," Full "," No New Content ",http://europepmc.org/journals/2189/
"International Wound Journal","Int Wound J","1742-4801","1742-481X","Wiley","","v.21(6);Jun 2024","v.1;2004","Immediate","Some"," Full "," ",http://europepmc.org/journals/4087/
"Integrated Blood Pressure Control","Integr Blood Press Control","","1178-7104","Dove Press","","v.17;2024","v.1;2008","Immediate","All"," Full "," ",http://europepmc.org/journals/1646/
"Integrative Cancer Therapies","Integr Cancer Ther","1534-7354","1552-695X","SAGE Publications","","v.23;2024","v.15;2016","Immediate","Some"," Full "," ",http://europepmc.org/journals/3321/
"Integrative and Comparative Biology","Integr Comp Biol","1540-7063","1557-7023","Oxford University Press","","v.63(6);Dec 2023","v.47;2007","12 months","Some"," NIH Portfolio "," ",https://www.ncbi.nlm.nih.gov/pmc/?term=%22Integr+Comp+Biol%22%5Bjournal%5D
"Integrated Healthcare Journal","Integr Healthc J","","2399-5351","BMJ Publishing Group","","v.4(1);2022","v.1;2019","","All"," Full "," No New Content ",http://europepmc.org/journals/4502/
"Integrative Medicine: A Clinician's Journal","Integr Med (Encinitas)","1546-993X","1945-7081","InnoVision Media","","v.23(2);May 2024","v.13;2014","12 months","No"," Full "," ",http://europepmc.org/journals/2854/
"Integrative Medicine Insights","Integr Med Insights","","1177-3936","SAGE Publications","","v.12;2017","v.3;2008","","All"," Full "," No New Content ",http://europepmc.org/journals/1573/
"Integrative Medicine Research","Integr Med Res","2213-4220","2213-4239","Korea Institute of Oriental Medicine","","v.13(3);Sep 2024","v.1;2012","Immediate","Some"," Full "," ",http://europepmc.org/journals/3168/
"Integrative Organismal Biology","Integr Org Biol","","2517-4843","Oxford University Press","","v.6(1);2024","v.1;2019","Immediate","Some"," Full "," ",http://europepmc.org/journals/4055/
"Integrated Pharmacy Research &#x0026; Practice","Integr Pharm Res Pract","","2230-5254","Dove Press","","v.13;2024","v.4;2015","Immediate","All"," Full "," ",http://europepmc.org/journals/3329/
"Intensive Care Medicine Experimental","Intensive Care Med Exp","","2197-425X","Springer-Verlag","","v.12;Dec 2024","v.1;2013","Immediate","All"," Full "," ",http://europepmc.org/journals/2750/
"Interactive Cardiovascular and Thoracic Surgery","Interact Cardiovasc Thorac Surg","1569-9293","1569-9285","Oxford University Press","","v.35(6);Dec 2022","v.14;2012","Immediate","Some"," Full "," Predecessor ",http://europepmc.org/journals/1779/
"Interactive Journal of Medical Research","Interact J Med Res","","1929-073X","JMIR Publications Inc.","","v.13;2024","v.1;2012","Immediate","All"," Full "," ",http://europepmc.org/journals/2085/
"Interdisciplinary Cardiovascular and Thoracic Surgery","Interdiscip Cardiovasc Thorac Surg","","2753-670X","Oxford University Press","","v.38(6);Jun 2024","v.36;2023","Immediate","Some"," Full "," ",http://europepmc.org/journals/4382/
"Interdisciplinary Perspectives on Infectious Diseases","Interdiscip Perspect Infect Dis","1687-708X","1687-7098","Wiley","","v.2024;2024","v.2008;2008","Immediate","All"," Full "," ",http://europepmc.org/journals/849/
"Interdisciplinary Toxicology","Interdiscip Toxicol","1337-6853","1337-9569","Slovak Toxicology Society SETOX & Institute of Experimental Pharmacology and Toxicology, Slovak Academy of Sciences","","v.12(4);Dec 2019","v.1;2008","","All"," Full "," No New Content ",http://europepmc.org/journals/1462/
"Interface Focus","Interface Focus","2042-8898","2042-8901","The Royal Society","","v.14(2);Apr 12, 2024","v.1;2011","12 months","Some"," Full "," ",http://europepmc.org/journals/1768/
"Internal Medicine","Intern Med","0918-2918","1349-7235","Japanese Society of Internal Medicine","","v.63(11);Jun 1, 2024","v.55;2016","Immediate","All"," Full "," ",http://europepmc.org/journals/3073/
"Internet Interventions","Internet Interv","","2214-7829","Elsevier","","v.37;Sep 2024","v.3;2016","Immediate","Some"," Full "," ",http://europepmc.org/journals/3472/
"Interventional Cardiology: Reviews, Research, Resources","Interv Cardiol","1756-1477","1756-1485","Radcliffe Cardiology","","v.19;2024","v.8;2013","Immediate","Some"," Full "," ",http://europepmc.org/journals/3366/
